Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"C1, C10, C15, C2, C20, C21, C22, C23, C24, C28, C29, C3, C30, C31, C4, C5",0603,16,100n,
"C11, C12",0603,2,8p,
C13,CP_EIA-3216-10_Kemet-I,1,22u,
"C14, C16, C17",0603,3,22u,
"C18, C19",CP_EIA-3528-12_Kemet-T,2,10u,
"C25, C26",0603,2,2.2u,
C27,0603,1,47p,
C6,0603,1,10u,
C7,0603,1,10n,
"C8, C9",0603,2,1u,
D1,0805,1,EMERALD,
D2,D_SMB,1,D,
D3,0402,1,PESD0402V05,
"D4, D5, D6",0603,3,BLUE,
D7,0603,1,RED,
"FB1, FB2",0603,2,120R,
"J1, J10, J11, J2, J3, J4, J5, J6, J7, J8, J9",TerminalBlock_bornier-2_P5.08mm,11,Screw_Terminal_01x02,
J12,SUNTECH_ST-TF-003A,1,Micro_SD_Card_TF PUSH,
J13,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J14, J15",JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,2,Conn_01x06_Socket,
J16,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,
L1,IND_CYA0630_SHH,1,3.3u,
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,AO3400A,
R1,0603,1,82R,
"R10, R14, R17, R20",0603,4,20k,
"R11, R12, R15, R18, R21, R38, R8",0603,7,4.7k,
"R13, R16, R19, R2, R22, R36, R37, R5, R7, R9",0603,10,10k,
"R23, R3, R4",0603,3,5.1k,
"R24, R25, R26, R27, R28",0603,5,47k,
"R29, R35",0603,2,1k,
"R30, R31, R32, R33, R34",0603,5,33R,
R39,0603,1,75R,
R40,0603,1,91R,
R41,0603,1,1.5k,
R6,0603,1,68k,
SW1,SW_SS12D07VG4,1,SW_SPDT,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
"U10, U11, U12, U13, U17, U19, U6, U7, U8, U9",PinHeader_1x03_P2.54mm_Vertical,10,~,
U14,PQFN50P450X300X100-16N,1,BMI088,
U15,PQFN50P200X200X80-10N,1,BMP388,
U16,ublox_MAX,1,MAX-M10S,
U18,VG6328A,1,~,
U2,SOT-23-6,1,USBLC6-2SC6,
U20,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
"U21, U22, U4",PinHeader_1x04_P2.54mm_Vertical,3,~,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,SOT-23-6,1,TPS565208,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,16MHz,
